Name,Theoretical
FAL 2:1,176.0818646
FAL 2:0,178.0975146
FAL 3:2,188.0818646
FAL 3:1,190.0975146
FAL 2:1;O,192.0767792
FAL 3:0,192.1131646
FAL 2:0;O,194.0924292
FAL 4:1,204.1131646
FAL 3:1;O,206.0924292
FAL 4:0,206.1288146
FAL 3:0;O,208.1080792
FAL 5:1,218.1288146
FAL 5:0,220.1445
FAL 4:0;O,222.1237292
FAL 6:2,230.1288146
FAL 5:2;O,232.1080792
FAL 6:1,232.1445
FAL 5:1;O,234.1237292
FAL 6:0,234.1601
FAL 7:4,240.1131646
FAL 7:2,244.1445
FAL 7:1,246.1601
FAL 6:1;O,248.1394
FAL 7:0,248.1758
FAL 6:0;O,250.155
FAL 8:4,254.1288146
FAL 7:4;O,256.1080792
FAL 8:3,256.1445
FAL 8:2,258.1601
FAL 7:2;O,260.1394
FAL 8:1,260.1758
FAL 7:1;O,262.155
FAL 8:0,262.1914
FAL 7:0;O,264.1706792
FAL 9:5,266.1288146
FAL 9:4,268.1444646
FAL 8:4;O,270.1237292
FAL 9:3,270.1601
FAL 9:2,272.1758
FAL 9:1,274.1914
FAL 8:1;O,276.1707
FAL 9:0,276.2071
FAL 8:0;O,278.1863292
FAL 10:3,284.1758
FAL 9:3;O,286.1550292
FAL 10:2,286.1914
FAL 9:2;O,288.1707
FAL 10:1,288.2071
FAL 9:1;O,290.1863
FAL 10:0,290.2227
FAL 9:0;O,292.2019792
FAL 11:4,296.1758
FAL 11:3,298.1914
FAL 11:2,300.2071
FAL 10:2;O,302.1863292
FAL 11:1,302.2227
FAL 10:1;O,304.2019792
FAL 11:0,304.2384
FAL 12:6,306.1601146
FAL 9:1;O2,306.1812
FAL 10:0;O,306.2176292
FAL 12:5,308.1758
FAL 12:4,310.1914146
FAL 12:3,312.2070646
FAL 11:3;O,314.1863292
FAL 12:2,314.2227
FAL 11:2;O,316.2019792
FAL 12:1,316.2384
FAL 11:1;O,318.2176292
FAL 12:0,318.254
FAL 11:0;O,320.2332792
FAL 12:6;O,322.1550292
FAL 13:4,324.2070646
FAL 12:4;O,326.1863292
FAL 13:3,326.2227
FAL 12:3;O,328.2019792
FAL 13:2,328.2383646
FAL 12:1;O,330.2176
FAL 12:2;O,330.2176292
FAL 13:1,330.254
FAL 13:0,332.2697
FAL 12:0;O,334.2489292
FAL 14:5,336.2070646
FAL 14:4,338.2227
FAL 13:4;O,340.2019792
FAL 14:3,340.2384
FAL 13:3;O,342.2176292
FAL 14:2,342.254
FAL 13:2;O,344.2332792
FAL 14:1,344.2697
FAL 13:1;O,346.2489292
FAL 14:0,346.2853
FAL 15:6,348.2070646
FAL 13:0;O,348.2645792
FAL 15:5,350.2227146
FAL 15:4,352.2384
FAL 14:4;O,354.2176292
FAL 15:3,354.2540146
FAL 16:9,356.1757646
FAL 14:3;O,356.2332792
FAL 14:2:O,358.2489
FAL 15:1,358.2853
FAL 16:7,360.2070646
FAL 14:1;O,360.2646
FAL 15:0,360.301
FAL 16:6,362.2227146
FAL 14:0;O,362.2802292
FAL 16:5,364.2383646
FAL 15:5;O,366.2176292
FAL 16:4,366.2540146
FAL 14:5;O2,368.1969
FAL 15:4;O,368.2332792
FAL 16:3,368.2697
FAL 15:3;O,370.2489292
FAL 16:2,370.2853
FAL 15:2;O,372.2645792
FAL 16:1,372.301
FAL 15:1;O,374.2802292
FAL 16:0,374.3166
FAL 17:6,376.2383646
FAL 15:0;O,376.2958792
FAL 17:5,378.2540146
FAL 16:5;O,380.2332792
FAL 17:4,380.2696646
FAL 16:4;O,382.2489292
FAL 17:3,382.2853
FAL 16:3;O,384.2645792
FAL 17:2,384.301
FAL 16:2;O,386.2802
FAL 17:1,386.3166
FAL 16:1;O,388.2958792
FAL 17:0,388.3323
FAL 16:0;O,390.3115
FAL 17:6;O,392.2332792
FAL 18:4,394.2853146
FAL 17:4;O,396.2645792
FAL 18:3,396.301
FAL 18:10;O,398.1863292
FAL 17:3;O,398.2802292
FAL 18:2,398.3166
FAL 17:2;O,400.2958792
FAL 18:1,400.3323
FAL 17:1;O,402.3115292
FAL 18:0,402.3479
FAL 17:0;O,404.3271792
FAL 19:5,406.2853146
FAL 19:4,408.3009646
FAL 18:4;O,410.2802292
FAL 19:3,410.3166146
FAL 18:3;O,412.2958792
FAL 19:2,412.3322646
FAL 18:2;O,414.3115292
FAL 19:1,414.3479
FAL 18:1;O,416.3271792
FAL 19:0,416.3636
FAL 20:6,418.2853146
FAL 18:0;O,418.3428292
FAL 20:5,420.3009646
FAL 20:4,422.3166
FAL 19:4;O,424.2958792
FAL 20:0,430.3792
FAL 20:6;O,434.2802292
FAL 20:4;O,438.3115292
FAL 20:3;O,440.3271792
FAL 20:1;O,444.3584792
FAL 20:0;O,446.3741292
FA 5:1;O,250.1183
FA 5:2;O,248.1027
FA 6:2;O,262.1183
FA 7:1;O,278.1496
FA 8:1;O,292.1653
FA 8:2;O,290.1496
FA 8:2;O2,306.1446
FA 9:1;O,306.1809
FA 9:2;O,304.1653
FA 10:1;O,320.1966
FA 10:2;O,318.1809
FA 10:2;O2,334.1759
FA 10:3;O,316.1653
FA 11:1;O,334.2122
FA 11:3;O,330.1809
FA 12:1;O,348.2279
FA 12:2;O,346.2122
FA 12:2;O2,362.2072
FA 12:4;O,342.1809
FA 13:1;O,362.2435
FA 13:3;O,358.2122
FA 14:1;O,376.2592
FA 14:2;O,374.2435
FA 15:1;O,390.2748
FA 16:1;O,404.2905
FA 16:2;O,402.2748
FA 16:3;O,400.2592
FA 17:1;O,418.3061
FA 17:4;O,412.2592
FA 18:1;O2,448.3167
FA 18:2;O,430.3061
FA 18:3;O,428.2905
FA 18:3;O2,444.2854
FA 18:5;O,424.2592
FA 20:1;O,460.3531
FA 20:3;O,456.3218
FA 2:1;O,208.0716938
FA 4:2;O,234.0873438
FA 7:2;O2,292.1292084
FA 7:2;O,276.1342938
FA 8:3;O,288.1342938
FA 9:2;O2,320.1605084
FA 10:3;O2,332.1605084
FA 11:2;O2,348.1918084
FA 11:2;O,332.1968938
FA 11:3;O2,346.1761584
FA 12:3;O,344.1968938
FA 12:3;O2,360.1918084
FA 12:4;O2,358.1761584
FA 13:2;O2,376.2231084
FA 13:2;O,360.2281938
FA 13:3;O2,374.2074584
FA 13:4;O2,372.1918084
